Id,District.Name,Neighborhood.Name,Longitude,Latitude,Month,Day.Span,Hour.Span,Weekday,Weekday.Weekend,Mild.injuries,Serious.injuries,Victims,Vehicles.involved,District.Name_imp,Neighborhood.Name_imp
2017S004273    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.162649,41.405875,May,11-15,00-03h,Saturday,Weekend,1,0,1,2,FALSE,FALSE
2017S000027    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.167786,41.407591,January,1-5,09-12h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S006031    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.165276,41.402648,July,11-15,18-21h,Tuesday,Weekday,1,0,1,2,FALSE,FALSE
2017S008593    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.165276,41.402648,October,16-20,15-18h,Wednesday,Weekday,1,0,1,1,FALSE,FALSE
2017S007230    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.165276,41.402648,August,26-31,12-15h,Tuesday,Weekday,1,0,1,1,FALSE,FALSE
2017S008943    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.170998,41.397994,October,26-31,09-12h,Sunday,Weekend,1,0,1,1,FALSE,FALSE
2017S009146    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.169769,41.404378,November,1-5,09-12h,Sunday,Weekend,1,0,1,2,FALSE,FALSE
2017S010197    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.169782,41.406071,December,6-10,12-15h,Thursday,Weekday,1,0,1,1,FALSE,FALSE
2017S007910    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.16977,41.402674,September,21-25,15-18h,Sunday,Weekend,1,0,1,2,FALSE,FALSE
2017S007620    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.16526,41.404366,September,11-15,18-21h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S000663    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.166363,41.401823,January,21-25,15-18h,Wednesday,Weekday,1,0,1,1,FALSE,FALSE
2017S007210    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.167527,41.404387,August,26-31,09-12h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S006655    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.165877,41.409036,August,1-5,00-03h,Tuesday,Weekday,3,0,3,2,FALSE,FALSE
2017S000531    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.166363,41.401823,January,16-20,09-12h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S000132    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.167502,41.400966,January,6-10,12-15h,Friday,Weekday,1,0,1,1,FALSE,FALSE
2017S002126    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.170374,41.402987,March,16-20,18-21h,Thursday,Weekday,2,0,2,1,FALSE,FALSE
2017S001373    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.165895,41.406278,February,16-20,18-21h,Saturday,Weekend,1,0,1,2,FALSE,FALSE
2017S005910    ,Gràcia,la Vila de Gràcia,2.160023,41.406373,July,6-10,21-00h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S003636    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.166363,41.401823,April,21-25,21-00h,Sunday,Weekend,0,0,0,2,FALSE,FALSE
2017S004612    ,Gràcia,la Vila de Gràcia,2.160697,41.405702,May,21-25,09-12h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S006984    ,Horta-Guinardó,Sant Genís dels Agudells,2.139592,41.425758,July,26-31,06-09h,Monday,Weekday,1,0,1,1,FALSE,FALSE
2017S007104    ,Horta-Guinardó,Sant Genís dels Agudells,2.138419,41.420789,August,21-25,12-15h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S009429    ,Horta-Guinardó,Montbau,2.144584,41.430611,November,11-15,09-12h,Tuesday,Weekday,1,0,1,2,FALSE,FALSE
